%time,field.ecef_vel.e,field.ecef_vel.n,field.ecef_vel.u
1665830938.69836,0.004900592,0.011505131,0.027604278
1665830938.8995,-0.0096634,0.001206018,-0.027939474
1665830939.1005,0.011931251,-0.000335482,-0.03460842
1665830939.29168,-0.001219294,-0.007300441,0.0635158
1665830939.49177,-0.012256649,0.018667192,-0.019041022
1665830939.69284,-0.025816071,0.002877709,-0.073908993
1665830939.8939,0.031257094,-0.003759337,0.050844778
1665830940.09489,-0.041667601,0.011729616,-0.047400075
1665830940.29587,0.014778068,0.007628307,-0.024554381
1665830940.49698,-0.005996997,-0.001278915,0.01866388
1665830940.68794,0.00620627,-0.003939231,0.013062721
1665830940.89006,-0.009562171,0.005032274,-0.033894264
1665830941.09006,-0.006474052,0.000659381,0.024421955
1665830941.29113,0.006859904,0.006538918,-0.012933455
1665830941.49227,-0.010803142,-0.003481757,0.011891993
1665830941.69344,0.001399768,0.01461654,-0.057231524
1665830941.8945,-0.00806273,-0.001105961,0.024323635
1665830942.08557,-0.008158817,0.009129913,-0.033113266
1665830942.28659,0.001722261,-0.002544748,0.012471891
1665830942.48765,-0.009773683,0.0041753,-0.011834779
1665830942.6888,-0.021727925,0.006773194,-0.040361381
1665830942.88996,0.009516886,-0.001247944,0.025567392
1665830943.09095,0.00889137,0.002748903,0.015375535
1665830943.28297,-0.017305361,-0.001667599,-0.029937662
1665830943.48418,-0.016408836,0.026251741,-0.049786004
1665830943.6855,0.007055597,-0.017920521,0.013291104
1665830943.88643,-0.007668814,0.017371684,-0.006953696
1665830944.08772,0.010440589,-0.004321485,0.005615948
1665830944.28846,-0.02439362,0.009895043,-0.036457776
1665830944.48941,-0.004352698,-0.00331312,-0.006063601
1665830944.68151,-0.010536335,0.011436611,-0.024925681
1665830944.88162,0.008741303,-0.004470857,0.018159875
1665830945.08266,-0.00929533,0.001109228,-0.008349039
1665830945.28374,0.001750071,0.010354541,0.010480016
1665830945.48498,-0.003981075,-0.006943,0.000828124
1665830945.68631,-0.006628354,0.005994141,-0.03439179
1665830945.87739,0.005461418,0.004998431,0.025728556
1665830946.07846,-0.026820317,0.007595559,-0.072619268
