timestamp,pose_e,pose_n,pose_u,gnss_position_status
1665830938.68516,0,0,0,5
1665830938.72516,0,0,0,0
1665830938.76516,0,0,0,0
1665830938.80516,0,0,0,0
1665830938.84516,0,0,0,0
1665830938.88487,-0.002429868,-0.000369815,-0.0021,5
1665830938.92487,0,0,0,0
1665830938.96487,0,0,0,0
1665830939.00487,0,0,0,0
1665830939.04487,0,0,0,0
1665830939.08532,-0.001822402,-0.000554724,-0.0064,5
1665830939.12532,0,0,0,0
1665830939.16532,0,0,0,0
1665830939.20532,0,0,0,0
1665830939.24532,0,0,0,0
1665830939.28353,-0.008808289,0.004437794,-0.0129,5
1665830939.32353,0,0,0,0
1665830939.36353,0,0,0,0
1665830939.40353,0,0,0,0
1665830939.44353,0,0,0,0
1665830939.48287,-0.01397177,0.009800127,-0.0153,5
1665830939.52287,0,0,0,0
1665830939.56287,0,0,0,0
1665830939.60287,0,0,0,0
1665830939.64287,0,0,0,0
1665830939.68193,-0.023083799,0.015717186,-0.033,5
1665830939.72193,0,0,0,0
1665830939.76193,0,0,0,0
1665830939.80193,0,0,0,0
1665830939.84193,0,0,0,0
1665830939.8822,-0.02931035,0.017936082,-0.04,5
1665830939.9222,0,0,0,0
1665830939.9622,0,0,0,0
1665830940.0022,0,0,0,0
1665830940.0422,0,0,0,0
1665830940.08272,-0.039485448,0.021264427,-0.0545,5
1665830940.12272,0,0,0,0
1665830940.16272,0,0,0,0
1665830940.20272,0,0,0,0
1665830940.24272,0,0,0,0
1665830940.28319,-0.040244783,0.021819152,-0.06,5
1665830940.32319,0,0,0,0
1665830940.36319,0,0,0,0
1665830940.40319,0,0,0,0
1665830940.44319,0,0,0,0
1665830940.48168,-0.048597474,0.026072037,-0.070100001,5
1665830940.52168,0,0,0,0
1665830940.56168,0,0,0,0
1665830940.60168,0,0,0,0
1665830940.64168,0,0,0,0
1665830940.68086,-0.053912823,0.027181485,-0.0794,5
1665830940.72086,0,0,0,0
1665830940.76086,0,0,0,0
1665830940.80086,0,0,0,0
1665830940.84086,0,0,0,0
1665830940.88195,-0.059228169,0.029770198,-0.0854,5
1665830940.92195,0,0,0,0
1665830940.96195,0,0,0,0
1665830941.00195,0,0,0,0
1665830941.04195,0,0,0,0
1665830941.08156,-0.06241738,0.032728725,-0.0888,5
1665830941.12156,0,0,0,0
1665830941.16156,0,0,0,0
1665830941.20156,0,0,0,0
1665830941.24156,0,0,0,0
1665830941.28172,-0.0350813,0.044193025,-0.0707,4
1665830941.32172,0,0,0,0
1665830941.36172,0,0,0,0
1665830941.40172,0,0,0,0
1665830941.44172,0,0,0,0
1665830941.4796,-0.036296239,0.042713762,-0.069700001,4
1665830941.5196,0,0,0,0
1665830941.5596,0,0,0,0
1665830941.5996,0,0,0,0
1665830941.6396,0,0,0,0
1665830941.67996,-0.036751836,0.039570325,-0.063400001,4
1665830941.71996,0,0,0,0
1665830941.75996,0,0,0,0
1665830941.79996,0,0,0,0
1665830941.83996,0,0,0,0
1665830941.87911,-0.040396647,0.036426886,-0.0581,4
1665830941.91911,0,0,0,0
1665830941.95911,0,0,0,0
1665830941.99911,0,0,0,0
1665830942.03911,0,0,0,0
1665830942.07867,-0.045711998,0.032174002,-0.054100001,4
1665830942.11867,0,0,0,0
1665830942.15867,0,0,0,0
1665830942.19867,0,0,0,0
1665830942.23867,0,0,0,0
1665830942.27892,-0.046167598,0.031249462,-0.057300001,4
1665830942.31892,0,0,0,0
1665830942.35892,0,0,0,0
1665830942.39892,0,0,0,0
1665830942.43892,0,0,0,0
1665830942.47661,-0.047230668,0.029955105,-0.0571,4
1665830942.51661,0,0,0,0
1665830942.55661,0,0,0,0
1665830942.59661,0,0,0,0
1665830942.63661,0,0,0,0
1665830942.67606,-0.048597474,0.028845657,-0.058300001,4
1665830942.71606,0,0,0,0
1665830942.75606,0,0,0,0
1665830942.79606,0,0,0,0
1665830942.83606,0,0,0,0
1665830942.8759,-0.051027347,0.030694738,-0.060500002,4
1665830942.9159,0,0,0,0
1665830942.9559,0,0,0,0
1665830942.9959,0,0,0,0
1665830943.0359,0,0,0,0
1665830943.07561,-0.051634814,0.028475841,-0.0559,4
1665830943.11561,0,0,0,0
1665830943.15561,0,0,0,0
1665830943.19561,0,0,0,0
1665830943.23561,0,0,0,0
1665830943.27679,-0.049812409,0.026441852,-0.054900001,4
1665830943.31678,0,0,0,0
1665830943.35678,0,0,0,0
1665830943.39678,0,0,0,0
1665830943.43679,0,0,0,0
1665830943.47556,-0.050116145,0.026996576,-0.055200001,4
1665830943.51556,0,0,0,0
1665830943.55556,0,0,0,0
1665830943.59556,0,0,0,0
1665830943.63556,0,0,0,0
1665830943.67586,-0.050116145,0.025702221,-0.059500001,4
1665830943.71586,0,0,0,0
1665830943.75586,0,0,0,0
1665830943.79586,0,0,0,0
1665830943.83586,0,0,0,0
1665830943.87402,-0.051027347,0.029030565,-0.060600001,4
1665830943.91402,0,0,0,0
1665830943.95402,0,0,0,0
1665830943.99402,0,0,0,0
1665830944.03402,0,0,0,0
1665830944.07572,-0.052242283,0.031619278,-0.0676,4
1665830944.11572,0,0,0,0
1665830944.15572,0,0,0,0
1665830944.19572,0,0,0,0
1665830944.23572,0,0,0,0
1665830944.27455,-0.052849751,0.030694738,-0.0649,4
1665830944.31455,0,0,0,0
1665830944.35455,0,0,0,0
1665830944.39455,0,0,0,0
1665830944.43455,0,0,0,0
1665830944.4746,-0.054824027,0.030879646,-0.0652,4
1665830944.5146,0,0,0,0
1665830944.5546,0,0,0,0
1665830944.5946,0,0,0,0
1665830944.6346,0,0,0,0
1665830944.67379,-0.054824027,0.03050983,-0.0702,4
1665830944.71379,0,0,0,0
1665830944.75379,0,0,0,0
1665830944.79379,0,0,0,0
1665830944.83379,0,0,0,0
1665830944.87295,-0.053609089,0.028106025,-0.064700001,4
1665830944.91295,0,0,0,0
1665830944.95295,0,0,0,0
1665830944.99295,0,0,0,0
1665830945.03295,0,0,0,0
1665830945.07377,-0.053760956,0.025702221,-0.0693,4
1665830945.11377,0,0,0,0
1665830945.15377,0,0,0,0
1665830945.19377,0,0,0,0
1665830945.23377,0,0,0,0
1665830945.27255,-0.052849751,0.027366393,-0.0668,4
1665830945.31255,0,0,0,0
1665830945.35255,0,0,0,0
1665830945.39255,0,0,0,0
1665830945.43255,0,0,0,0
1665830945.47209,-0.05300162,0.02866075,-0.066000001,4
1665830945.51209,0,0,0,0
1665830945.55209,0,0,0,0
1665830945.59209,0,0,0,0
1665830945.63209,0,0,0,0
1665830945.67204,-0.053760956,0.029770198,-0.070000001,4
1665830945.71204,0,0,0,0
1665830945.75204,0,0,0,0
1665830945.79204,0,0,0,0
1665830945.83204,0,0,0,0
1665830945.8721,-0.053457219,0.030324922,-0.0667,4
1665830945.9121,0,0,0,0
1665830945.9521,0,0,0,0
1665830945.9921,0,0,0,0
1665830946.0321,0,0,0,0
1665830946.07143,-0.052849751,0.031249461,-0.0635,4
1665830946.11143,0,0,0,0
1665830946.15143,0,0,0,0
1665830946.19143,0,0,0,0
1665830946.23143,0,0,0,0
1665830946.27183,-0.054672157,0.030140013,-0.0648,4
1665830946.31183,0,0,0,0
1665830946.35183,0,0,0,0
1665830946.39183,0,0,0,0
1665830946.43183,0,0,0,0
1665830946.47094,-0.053457219,0.029215473,-0.060300001,4
1665830946.51094,0,0,0,0
1665830946.55094,0,0,0,0
1665830946.59094,0,0,0,0
1665830946.63094,0,0,0,0
1665830946.67031,-0.053457219,0.027736208,-0.061600001,4
1665830946.71031,0,0,0,0
1665830946.75031,0,0,0,0
1665830946.79031,0,0,0,0
1665830946.83031,0,0,0,0
1665830946.86982,-0.053305352,0.026256944,-0.0602,4
1665830946.90982,0,0,0,0
1665830946.94982,0,0,0,0
1665830946.98982,0,0,0,0
1665830947.02982,0,0,0,0
1665830947.06882,-0.049508674,0.02477768,-0.057500001,4
1665830947.10882,0,0,0,0
1665830947.14882,0,0,0,0
1665830947.18882,0,0,0,0
1665830947.22882,0,0,0,0
1665830947.26816,-0.048749339,0.022558784,-0.0553,4
1665830947.30816,0,0,0,0
1665830947.34816,0,0,0,0
1665830947.38816,0,0,0,0
1665830947.42816,0,0,0,0
1665830947.46829,-0.047078801,0.022558783,-0.052099999,4
1665830947.50829,0,0,0,0
1665830947.54829,0,0,0,0
1665830947.58829,0,0,0,0
1665830947.62829,0,0,0,0
1665830947.6678,-0.04981241,0.02385314,-0.060100001,4
1665830947.7078,0,0,0,0
1665830947.7478,0,0,0,0
1665830947.7878,0,0,0,0
1665830947.8278,0,0,0,0
1665830947.86814,-0.052242283,0.027181485,-0.0637,4
1665830947.90814,0,0,0,0
1665830947.94814,0,0,0,0
1665830947.98814,0,0,0,0
1665830948.02814,0,0,0,0
1665830948.06756,-0.053912823,0.028475841,-0.066200001,4
1665830948.10756,0,0,0,0
1665830948.14756,0,0,0,0
1665830948.18756,0,0,0,0
1665830948.22756,0,0,0,0
1665830948.2679,-0.052546018,0.028660749,-0.0683,4
1665830948.3079,0,0,0,0
1665830948.3479,0,0,0,0
1665830948.3879,0,0,0,0
1665830948.4279,0,0,0,0
1665830948.46612,-0.04935681,0.02662676,-0.060100001,4
1665830948.50612,0,0,0,0
1665830948.54612,0,0,0,0
1665830948.58612,0,0,0,0
1665830948.62612,0,0,0,0
1665830948.6658,-0.048901207,0.026811669,-0.0649,4
1665830948.7058,0,0,0,0
1665830948.7458,0,0,0,0
1665830948.7858,0,0,0,0
1665830948.8258,0,0,0,0
1665830948.86683,-0.054520289,0.031064553,-0.0716,4
1665830948.90683,0,0,0,0
1665830948.94683,0,0,0,0
1665830948.98683,0,0,0,0
1665830949.02683,0,0,0,0
1665830949.06627,-0.056342694,0.03143437,-0.0764,4
1665830949.10627,0,0,0,0
1665830949.14627,0,0,0,0
1665830949.18627,0,0,0,0
1665830949.22627,0,0,0,0
