%time,estimated_velocity,yaw_rate
1665830938.56677,0,0
1665830938.57886,0,0
1665830938.59086,0,0
1665830938.60348,0,0
1665830938.61484,0,0
1665830938.62686,0,0
1665830938.63894,0,0
1665830938.65111,0,0
1665830938.66391,0,0
1665830938.67625,0,0
1665830938.68728,0,0
1665830938.69949,0,0
1665830938.71196,0,0
1665830938.72394,0,0
1665830938.73527,0,0
1665830938.74748,0,0
1665830938.75977,0,0
1665830938.77202,0,0
1665830938.78404,0,0
1665830938.79621,0,0
1665830938.80771,0,0
1665830938.8196,0,0
1665830938.8317,0,0
1665830938.84339,0,0
1665830938.85543,0,0
1665830938.86815,0,0
1665830938.87965,0,0
1665830938.89171,0,0
1665830938.90368,0,0
1665830938.91636,0,0
1665830938.92869,0,0
1665830938.94082,0,0
1665830938.95203,0,0
1665830938.96395,0,0
1665830938.97606,0,0
1665830938.98844,0,0
1665830939.0001,0,0
1665830939.01263,0,0
1665830939.02402,0,0
1665830939.03684,0,0
1665830939.04845,0,0
1665830939.06028,0,0
1665830939.07224,0,0
1665830939.08418,0,0
1665830939.09625,0,0
1665830939.10903,0,0
1665830939.12039,0,0
1665830939.13337,0,0
1665830939.1445,0,0
1665830939.15717,0,0
1665830939.16952,0,0
1665830939.18067,0,0
1665830939.19304,0,0
1665830939.20473,0,0
1665830939.21753,0,0
1665830939.22882,0,0
1665830939.24116,0,0
1665830939.253,0,0
1665830939.26557,0,0
1665830939.27676,0,0
1665830939.28875,0,0
1665830939.301,0,0
1665830939.31297,0,0
1665830939.32583,0,0
1665830939.33688,0,0
1665830939.34891,0,0
1665830939.361,0,0
1665830939.37318,0,0
1665830939.38516,0,0
1665830939.39727,0,0
1665830939.40936,0,0
1665830939.42152,0,0
1665830939.43353,0,0
1665830939.44624,0,0
1665830939.45763,0,0
1665830939.46995,0,0
1665830939.48158,0,0
1665830939.49362,0,0
1665830939.50604,0,0
1665830939.5175,0,0
1665830939.5302,0,0
1665830939.54155,0,0
1665830939.5537,0,0
1665830939.56636,0,0
1665830939.57747,0,0
1665830939.5897,0,0
1665830939.60174,0,0
1665830939.61378,0,0
1665830939.62685,0,0
1665830939.63802,0,0
1665830939.65004,0,0
1665830939.66299,0,0
1665830939.67509,0,0
1665830939.6865,0,0
1665830939.69885,0,0
1665830939.71053,0,0
1665830939.72303,0,0
1665830939.73414,0,0
1665830939.74688,0,0
1665830939.75836,0,0
1665830939.77101,0,0
1665830939.78259,0,0
